,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Clyde Edwards-Helaire,176.0,119.6,98.30000000000001,,,,,,,,,,,,,,
Austin Ekeler,,110.9,170.8,313.0,165.3,345.8,378.7,,,,,,,,,,
Andre Ellington,,,,165.3,181.5,76.7,30.1,87.4,,,,,,,,,
Ezekiel Elliott,327.40000000000003,205.20000000000002,331.1,315.70000000000005,231.70000000000002,248.06,185.8,,,,,,,,,,
Tyler Ervin,,,5.1,13.0,6.5,4.1,26.099999999999998,,,,,,,,,,
Travis Etienne,,,209.1,,,,,,,,,,,,,,
Chris Evans,,,,49.8,12.8,,,,,,,,,,,,
Darrynton Evans,,16.1,3.8000000000000003,10.700000000000001,,,,,,,,,,,,,
Demetric Felton,,,50.5,2.4,,,,,,,,,,,,,
Josh Ferguson,,,35.6,5.1,,0.9,,,,,,,,,,,
David Fluellen,,,,,2.1,1.6,0.0,,,,,,,,,,
Jerome Ford,,,1.2000000000000002,,,,,,,,,,,,,,
D'Onta Foreman,59.0,10.700000000000001,,17.0,95.89999999999999,129.0,,,,,,,,,,,
Matt Forte,,,306.5,221.0,266.6,224.7,223.4,339.3,346.6,214.70000000000002,185.60000000000002,122.4,,,,,
Leonard Fournette,,230.2,120.4,261.4,132.0,255.6,226.10000000000002,,,,,,,,,,
Jalston Fowler,,,,,22.700000000000003,2.7,6.4,,,,,,,,,,
Royce Freeman,,103.3,142.2,37.1,34.6,21.0,,,,,,,,,,,
Devonta Freeman,,89.3,320.40000000000003,286.1,202.2,14.100000000000001,201.60000000000002,36.0,146.6,,,,,,,,
Kenneth Gainwell,,123.39999999999999,87.9,,,,,,,,,,,,,,
Wayne Gallman,,,106.9,46.5,50.2,136.6,13.5,,,,,,,,,,
Myles Gaskin,,31.400000000000002,168.20000000000002,175.60000000000002,9.4,,,,,,,,,,,,
Antonio Gibson,,206.2,235.1,165.9,,,,,,,,,,,,,
Mike Gillislee,,,2.1,,53.6,125.7,70.80000000000001,6.199999999999999,,,,,,,,,
Melvin Gordon,,116.30000000000001,254.6,288.1,271.5,186.8,206.40000000000003,201.10000000000002,91.1,,,,,,,,
Frank Gore,,106.9,333.0,242.79999999999998,231.90000000000003,282.6,206.5,197.50000000000003,226.8,196.9,162.70000000000002,199.39999999999998,216.2,173.60000000000002,102.6,94.9,102.19999999999999
Corey Grant,,,,3.5,35.900000000000006,43.9,19.7,,,,,,,,,,
Tion Green,,,,31.9,,,,,,,,,,,,,
Todd Gurley,210.40000000000003,200.2,387.3,368.1,221.39999999999998,163.2,,,,,,,,,,,
Breece Hall,117.10000000000001,,,,,,,,,,,,,,,,
C.J. Ham,,,,21.1,20.3,39.6,25.500000000000004,32.9,31.3,,,,,,,,
Najee Harris,,,300.7,227.46,,,,,,,,,,,,,
Damien Harris,,1.2000000000000002,91.30000000000001,214.10000000000002,90.9,,,,,,,,,,,,
Kevin Harris,,11.2,,,,,,,,,,,,,,,
Hassan Haskins,,,26.0,,,,,,,,,,,,,,
Jamycal Hasty,,,,31.1,51.5,70.0,,,,,,,,,,,
Darrell Henderson,,22.400000000000002,130.3,163.4,73.5,,,,,,,,,,,,
De'Angelo Henderson,,,,,12.899999999999999,1.9000000000000001,,,,,,,,,,,
Derrick Henry,,105.7,135.0,203.36,300.6,335.1,193.3,310.76,,,,,,,,,
Khalil Herbert,,,78.9,117.80000000000001,,,,,,,,,,,,,
Ryan Hewitt,,,18.6,17.9,3.3,4.2,7.1,,,,,,,,,,
Justice Hill,,49.5,13.0,,44.0,,,,,,,,,,,,
Kylin Hill,,,3.9000000000000004,0.7000000000000001,,,,,,,,,,,,,
Jeremy Hill,,214.9,174.3,176.3,17.200000000000003,4.1,,,,,,,,,,,
Brian Hill,,9.3,17.6,67.2,97.4,0.0,,,,,,,,,,,
Bronson Hill,,,1.1,-0.2,,,,,,,,,,,,,
Dontrell Hilliard,,,17.5,38.1,6.000000000000001,74.7,77.2,,,,,,,,,,
Nyheim Hines,,160.9,107.9,191.2,116.6,69.4,,,,,,,,,,,
Travis Homer,28.0,32.8,55.8,45.1,,,,,,,,,,,,,
Jordan Howard,,232.10000000000002,201.7,182.0,111.4,30.7,62.5,0.1,,,,,,,,,
Chuba Hubbard,,139.60000000000002,89.7,,,,,,,,,,,,,,
