,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Trent Dilfer,,14.02,122.46000000000001,160.76000000000002,222.1,231.26,123.16,118.47999999999999,76.76,61.980000000000004,5.140000000000001,14.72,139.44,,67.14,,,,,,,,,,
Joshua Dobbs,,,0.8200000000000001,,2.08,,28.840000000000003,,,,,,,,,,,,,,,,,,
Jeff Driskel,,,,,97.12,66.10000000000001,34.08,0.0,19.22,,,,,,,,,,,,,,,,
Jacob Eason,,,,-1.0,0.3599999999999999,,,,,,,,,,,,,,,,,,,,
Armanti Edwards,,0.7000000000000001,0.94,17.1,2.0,,,,,,,,,,,,,,,,,,,,
Trent Edwards,,,,96.10000000000001,183.66,79.35999999999999,28.640000000000004,,0.56,,,,,,,,,,,,,,,,
Sam Ehlinger,,,0.9,43.620000000000005,,,,,,,,,,,,,,,,,,,,,
David Fales,,,,,,0.88,21.400000000000002,,0.0,,,,,,,,,,,,,,,,
Brett Favre,,-4.0,237.18,225.72,357.47999999999996,414.62,389.56000000000006,357.38,327.78000000000003,263.84,251.28000000000003,330.44000000000005,283.62,285.94,313.12,223.44,236.29999999999998,305.40000000000003,237.38,353.58000000000004,129.16000000000003,,,,
A.J. Feeley,,,,15.719999999999999,67.03999999999999,,119.02,,31.98,43.540000000000006,,,,24.32,,,,,,,,,,,
Justin Fields,,150.8,331.98,,,,,,,,,,,,,,,,,,,,,,
Ryan Fitzpatrick,,,57.48,0.0,0.0,149.29999999999998,110.97999999999999,254.9,272.78,273.7,199.66,215.72,351.20000000000005,159.4,87.92,199.83999999999997,283.46,173.73999999999998,0.72,,,,,,
Joe Flacco,,,214.14000000000001,252.11999999999998,289.28,255.39999999999998,284.88,245.58,316.44,191.94,280.48,219.04,163.10000000000002,100.88,66.76,31.82,66.33999999999999,,,,,,,,
Matt Flynn,,,0.64,-0.18000000000000016,33.92,58.12,2.22,100.18,-0.3599999999999999,,,,,,,,,,,,,,,,
Nick Foles,,,104.16000000000001,313.74,151.32,112.07999999999998,34.0,47.78,94.22000000000001,45.739999999999995,124.17999999999998,16.8,1.7600000000000007,,,,,,,,,,,,
Josh Freeman,114.39999999999999,312.43999999999994,243.08,304.5,36.44,,12.360000000000001,,,,,,,,,,,,,,,,,,
Gus Frerotte,,,44.1,169.64000000000001,189.72,203.78,13.32,127.98,121.44000000000003,37.22,15.68,65.39999999999999,0.0,207.94,1.08,58.86,134.98,,,,,,,,
Charlie Frye,,,,66.08,163.66,-0.5399999999999998,14.32,25.340000000000003,,,,,,,,,,,,,,,,,
Blaine Gabbert,,148.36,114.08,14.440000000000001,8.02,151.74,83.7,75.64,41.04,,19.32,1.98,7.16,,,,,,,,,,,,
Jeff Garcia,,,,,,,,,180.85999999999999,402.52,364.91999999999996,293.06,265.65999999999997,140.14000000000001,54.580000000000005,117.06,185.20000000000002,189.28000000000003,-0.2,,,,,,
Jimmy Garoppolo,,,14.180000000000001,-0.26,45.98,101.9,56.019999999999996,307.32,78.34,271.5,200.78000000000003,,,,,,,,,,,,,,
David Garrard,,,,37.14,9.44,38.56,101.88000000000001,136.4,226.86,253.4,264.18,275.26,,,,,,,,,,,,,
Tanner Gentry,,,6.5,,,,,0.0,,,,,,,,,,,,,,,,,
Mike Glennon,,,,204.01999999999998,109.58000000000001,,9.0,47.72,12.96,8.24,76.58,44.900000000000006,,,,,,,,,,,,,
Jared Goff,,67.16,317.26,378.32,301.52,285.98,236.5,346.32,,,,,,,,,,,,,,,,,
Bruce Gradkowski,,,118.53999999999999,5.2,-4.76,81.08,62.46,8.459999999999999,2.4,,-0.2,,,,,,,,,,,,,,
Quinn Gray,,,,,,16.1,21.240000000000002,95.14,11.739999999999998,,,,,,,,,,,,,,,,
