,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Coby Fleener,,,,66.1,136.8,176.4,121.1,137.29999999999998,63.5,,,,,,,,,,
Miller Forristall,,,0.0,0.0,,,,,,,,,,,,,,,
Jody Fortson,,,,,,21.7,31.8,,,,,,,,,,,,
Feleipe Franks,,,,-1.4,0.0,,,,,,,,,,,,,,
Pat Freiermuth,,,151.7,148.2,,,,,,,,,,,,,,,
Antonio Gates,,,74.9,255.4,259.1,217.4,227.4,178.4,242.7,188.2,183.8,144.8,188.2,223.10000000000002,149.0,149.8,79.6,73.30000000000001,
Zach Gentry,,,1.4,0.0,35.7,32.2,,,,,,,,,,,,,
Mike Gesicki,,,42.2,138.0,159.3,163.0,98.2,,,,,,,,,,,,
Dallas Goedert,,,90.4,148.7,116.4,163.0,143.2,,,,,,,,,,,,
Jimmy Graham,,,,96.89999999999999,296.0,237.2,303.5,233.9,120.5,193.3,169.0,130.6,100.7,143.6,48.7,,,,
Kylen Granson,,,21.6,61.2,,,,,,,,,,,,,,,
Noah Gray,,16.6,70.0,,,,,,,,,,,,,,,,
MarQueis Gray,,,,7.1,22.4,1.2,31.400000000000002,3.4000000000000004,,,,,,,,,,,
Virgil Green,,,5.4,11.3,13.5,19.7,35.3,51.7,39.1,46.0,22.8,14.0,,,,,,,
Jermaine Gresham,,123.1,151.6,167.7,115.80000000000001,138.0,46.3,88.1,77.2,18.4,,,,,,,,,
Ryan Griffin,,,49.400000000000006,25.1,57.1,106.2,34.8,54.5,96.0,17.6,65.1,6.6,,,,,,,
Garrett Griffin,,,1.4,0.0,,0.0,7.9,0.0,,,,,,,,,,,
Xavier Grimble,,,,34.8,14.2,14.6,1.3,,,,,,,,,,,,
Rob Gronkowski,156.6,330.90000000000003,200.0,122.2,266.4,255.60000000000002,97.0,225.4,133.2,,149.3,171.2,,,,,,,
James Hanna,,,16.6,19.3,8.8,16.9,,18.8,,,,,,,,,,,
Demetrius Harris,,,5.0,20.4,35.3,46.400000000000006,46.400000000000006,47.9,11.5,4.0,,,,,,,,,
Peyton Hendershot,,,39.5,,,,,,,,,,,,,,,,
Hunter Henry,,131.8,126.9,0.0,150.2,145.3,164.3,103.9,,,,,,,,,,,
Parker Hesse,,,,,,9.3,17.9,,,,,,,,,,,,
